epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4924.2,1.08507,0.92808,1.18323,0.85514,0.72634,0.81627,0.609,0.98405,0.74884,1.08732,0.00025037,0.00025037,0.00025037
60,5008.71,1.07326,0.92161,1.17928,0.85004,0.7359,0.81888,0.61345,0.98097,0.73592,1.08495,0.000244549,0.000244549,0.000244549
61,5092.18,1.08325,0.92651,1.1804,0.86423,0.72763,0.81816,0.61204,0.97891,0.7389,1.08668,0.000238728,0.000238728,0.000238728
62,5174.6,1.07922,0.90293,1.16825,0.85052,0.71893,0.8113,0.60644,0.97502,0.73417,1.08137,0.000232907,0.000232907,0.000232907
63,5257.6,1.07098,0.91503,1.17046,0.84166,0.725,0.80986,0.60317,0.97682,0.73666,1.08491,0.000227086,0.000227086,0.000227086
64,5342.89,1.06205,0.90173,1.16915,0.8667,0.71516,0.81507,0.61172,0.96959,0.72671,1.07895,0.000221264,0.000221264,0.000221264
65,5426.15,1.06035,0.89368,1.16894,0.85021,0.72645,0.81748,0.61355,0.96866,0.72155,1.08179,0.000215443,0.000215443,0.000215443
66,5509.63,1.0626,0.89836,1.17013,0.85772,0.73593,0.82278,0.61615,0.95781,0.71284,1.07098,0.000209622,0.000209622,0.000209622
67,5592.1,1.0527,0.89817,1.16646,0.86301,0.73554,0.82305,0.61724,0.95807,0.71397,1.07149,0.000203801,0.000203801,0.000203801
68,5675.12,1.05113,0.88766,1.15894,0.86535,0.73696,0.8268,0.61796,0.96118,0.71306,1.07276,0.00019798,0.00019798,0.00019798
69,5758.76,1.05329,0.89046,1.15727,0.87418,0.72412,0.8274,0.62033,0.96021,0.71222,1.0724,0.000192158,0.000192158,0.000192158
70,5842.5,1.05223,0.87981,1.15695,0.86983,0.74349,0.83001,0.62201,0.95347,0.70364,1.06824,0.000186337,0.000186337,0.000186337
71,5927.12,1.04786,0.87579,1.15679,0.87166,0.73649,0.82885,0.62444,0.95062,0.70312,1.06838,0.000180516,0.000180516,0.000180516
72,6011.53,1.04417,0.86898,1.15248,0.87601,0.73845,0.83335,0.62875,0.9423,0.6977,1.06228,0.000174695,0.000174695,0.000174695
73,6094.65,1.04601,0.87384,1.15943,0.86599,0.74269,0.83267,0.6275,0.94896,0.69919,1.06793,0.000168874,0.000168874,0.000168874
74,6177.32,1.0401,0.8725,1.14779,0.87524,0.74671,0.83472,0.63337,0.94173,0.69108,1.06365,0.000163052,0.000163052,0.000163052
75,6260.09,1.03904,0.85964,1.14952,0.87844,0.74652,0.83593,0.63143,0.93946,0.68941,1.06076,0.000157231,0.000157231,0.000157231
76,6343.26,1.0412,0.8641,1.15077,0.8782,0.75112,0.8389,0.63739,0.93742,0.68392,1.05988,0.00015141,0.00015141,0.00015141
77,6426.73,1.03772,0.86055,1.14493,0.8774,0.74264,0.8359,0.63294,0.93722,0.68722,1.05885,0.000145589,0.000145589,0.000145589
78,6509.88,1.03009,0.84983,1.14263,0.86594,0.75557,0.83796,0.63794,0.93483,0.6871,1.05894,0.000139768,0.000139768,0.000139768
79,6592.8,1.03007,0.85711,1.14056,0.87657,0.74653,0.83709,0.63571,0.93126,0.68351,1.05555,0.000133946,0.000133946,0.000133946
80,6677.77,1.03113,0.84273,1.14427,0.88526,0.7434,0.84008,0.63888,0.93052,0.67949,1.05737,0.000128125,0.000128125,0.000128125
81,6760.43,1.01812,0.83696,1.1417,0.88308,0.74903,0.84114,0.64238,0.92672,0.67282,1.05315,0.000122304,0.000122304,0.000122304
82,6843.26,1.02435,0.84557,1.14314,0.86532,0.75309,0.83883,0.63883,0.92488,0.67907,1.05106,0.000116483,0.000116483,0.000116483
83,6926.13,1.02234,0.84101,1.14018,0.88385,0.7484,0.84438,0.64634,0.91987,0.6703,1.04956,0.000110662,0.000110662,0.000110662
84,7010.92,1.01635,0.84336,1.13778,0.8853,0.75569,0.84414,0.64691,0.91924,0.66858,1.04976,0.00010484,0.00010484,0.00010484
85,7094.03,1.00305,0.81938,1.13631,0.88815,0.75375,0.8453,0.64529,0.9185,0.66608,1.04946,9.90192e-05,9.90192e-05,9.90192e-05
86,7177.01,1.01233,0.8271,1.13791,0.8993,0.75413,0.84884,0.64888,0.91731,0.6676,1.04902,9.3198e-05,9.3198e-05,9.3198e-05
87,7260.01,1.00779,0.8181,1.1319,0.88983,0.75615,0.84917,0.64917,0.91387,0.66262,1.04705,8.73768e-05,8.73768e-05,8.73768e-05
88,7343.96,1.00348,0.82301,1.13629,0.88354,0.76494,0.84975,0.64802,0.91473,0.66576,1.04647,8.15556e-05,8.15556e-05,8.15556e-05
89,7427.37,1.00609,0.81829,1.1353,0.90222,0.75518,0.85059,0.65232,0.91288,0.66061,1.04678,7.57344e-05,7.57344e-05,7.57344e-05
90,7510.73,0.99613,0.81397,1.12692,0.88093,0.77134,0.85098,0.65219,0.91124,0.65896,1.0453,6.99132e-05,6.99132e-05,6.99132e-05
91,7594.31,0.96381,0.73585,1.10286,0.87137,0.75923,0.84346,0.64282,0.92667,0.67458,1.05276,6.4092e-05,6.4092e-05,6.4092e-05
92,7677.38,0.94953,0.71522,1.0993,0.87028,0.76154,0.84364,0.64369,0.9214,0.66823,1.04882,5.82708e-05,5.82708e-05,5.82708e-05
93,7760.61,0.94312,0.70788,1.09414,0.88539,0.75191,0.84644,0.64682,0.91771,0.66215,1.04649,5.24496e-05,5.24496e-05,5.24496e-05
94,7844.56,0.94062,0.69441,1.09293,0.89117,0.75067,0.84793,0.65086,0.91464,0.66001,1.04521,4.66284e-05,4.66284e-05,4.66284e-05
95,7928.22,0.93891,0.6935,1.08604,0.89011,0.75331,0.85011,0.65136,0.91237,0.65702,1.04352,4.08072e-05,4.08072e-05,4.08072e-05
96,8012.64,0.92871,0.68833,1.08878,0.87278,0.76579,0.85119,0.6522,0.91179,0.6561,1.04384,3.4986e-05,3.4986e-05,3.4986e-05
97,8095.22,0.93295,0.69262,1.08631,0.88816,0.75825,0.85003,0.65241,0.91015,0.65413,1.04349,2.91648e-05,2.91648e-05,2.91648e-05
98,8177.59,0.93123,0.68994,1.08931,0.8964,0.75244,0.85126,0.65333,0.9085,0.65244,1.04198,2.33436e-05,2.33436e-05,2.33436e-05
99,8262.87,0.92924,0.68772,1.08306,0.89105,0.75722,0.85097,0.65364,0.90768,0.65118,1.04138,1.75224e-05,1.75224e-05,1.75224e-05
100,8346.12,0.92476,0.68095,1.07944,0.89342,0.75825,0.85263,0.65528,0.90621,0.65008,1.04064,1.17012e-05,1.17012e-05,1.17012e-05
